beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Oliver ESB,4503,1354,Extra Special Bitter,British Ale,Wharf Rat,206 W. Pratt St.,Baltimore,Maryland
Black Heart Stout,4723,857,American-Style Stout,North American Ale,Middle Ages Brewing,120 Wilkinson Street,Syracuse,New York
Remarkable Vanilla Porter,4746,236,Porter,Irish Ale,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado
Sierra Nevada Imperial Stout,4999,1142,American-Style Imperial Stout,North American Ale,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California
Ugly Pug,5027,1038,German-Style Schwarzbier,German Lager,Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,Texas
Robust Porter,5161,1160,Porter,Irish Ale,Smuttynose Brewing Co.,225 Heritage Ave,Portsmouth,New Hampshire
Voodoo Love Child,5330,1330,Belgian-Style Tripel,Belgian and French Ale,"Voodoo Brewing Co.,LLC",215 1/5 Arch St.,Meadville,Pennsylvania
Olde Buzzard Lager,5487,325,American-Style Lager,North American Lager,Buzzards Bay Brewing Inc.,98 Horseneck Rd,Westport,Massachusetts
Nit Wit,5832,133,Belgian-Style White,Belgian and French Ale,BJ's Restaurant and Brewery,600 Brea Mall,Brea,California
Onward Stout,5885,1391,American-Style Stout,North American Ale,Yazoo Brewing,910 Division St,Nashville,Tennessee
Old Eight Porter,1166,78,American-Style Stout,North American Ale,Barley John's Brewpub,781 Old Highway 8 SW,New Brighton,Minnesota
Third Stone Brown,1978,501,American-Style Brown Ale,North American Ale,Empyrean Brewing Company,729 Q Street,Lincoln,Nebraska
Pale Ale,2851,1339,American-Style Pale Ale,North American Ale,Water Street Brewery,1101 North Water Street,Milwaukee,Wisconsin
Wheat,2907,56,South German-Style Hefeweizen,German Ale,Atwater Block Brewing,237 Joseph Campau Street,Detroit,Michigan
Bully! Porter,338,161,Porter,Irish Ale,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri
New Belgium Trippel Belgian Style Ale,401,905,Belgian-Style Tripel,Belgian and French Ale,New Belgium Brewing,500 Linden Street,Fort Collins,Colorado
Imperial Pale,749,504,American-Style Pale Ale,North American Ale,Engine House #9,611 North Pine,Tacoma,Washington
IPA,3514,1029,American-Style India Pale Ale,North American Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Baritone Red,3526,883,American-Style Amber/Red Ale,North American Ale,Moonlight Brewing,PO Box 316,Fulton,California
Mesa Pale Ale,3675,332,American-Style Pale Ale,North American Ale,Callahan's Pub and Brewery,8280-A Mira Mesa Boulevard,San Diego,California
Red Rooster,3684,438,American-Style Pale Ale,North American Ale,Dempsey's Restaurant & Brewery,50 East Washington Street,Petaluma,California
St. Victorious,3829,1326,American-Style Lager,North American Lager,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania
Red Mo Ale,3846,960,American-Style Pale Ale,North American Ale,Otto's Pub and Brewery,2105 N. Atherton St.,State College,Pennsylvania
Saranac Pumpkin Ale,4607,512,Pumpkin Beer,Other Style,F.X. Matt Brewing,811 Edward Street,Utica,New York
Mild Brown,1031,942,American-Style Brown Ale,North American Ale,Olde Main Brewing,316 Main Street,Ames,Iowa
Desert Pale Ale,1081,693,American-Style Pale Ale,North American Ale,Indian Wells Brewing,2565 North Highway 14,Inyokern,California
Pale Ale,1136,440,American-Style Pale Ale,North American Ale,Denver ChopHouse and Brewery,1735 19th Street #100,Denver,Colorado
Pure Hoppiness,1256,29,Imperial or Double India Pale Ale,North American Ale,Alpine Beer Company,2351 Alpine Boulevard,Alpine,California
Oatmeal Stout,1260,1101,American-Style Stout,North American Ale,San Marcos Brewery & Grill,1080 West San Marcos Boulevard,San Marcos,California
Ornery Amber Lager,29,1271,American-Style Lager,North American Lager,Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado
The Wise ESB,694,496,Extra Special Bitter,British Ale,Elysian Brewery & Public House,1221 East Pike Street,Seattle,Washington
Amber Ale,4136,100,American-Style Amber/Red Ale,North American Ale,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan
Bohemian Dock Street Pilsner,4765,456,German-Style Pilsener,German Lager,Dock Street Beer,701 S. 50th Street,West Philly,Pennsylvania
Hop Sun,4878,1173,Light American Wheat Ale or Lager,Other Style,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Double Dead Guy Ale,4994,1072,German-Style Doppelbock,German Lager,Rogue Ales,2320 SE OSU Drive,Newport,Oregon
Orlando Blonde Ale,5438,954,American-Style Pale Ale,North American Ale,Orlando Brewing,1301 Atlanta Avenue,Orlando,Florida
Alta Gracia Coffee Porter,5866,959,Porter,North American Ale,Otter Creek Brewing & Wolaver's Organic Ales,793 Exchange Street,Middlebury,Vermont
Firewater Indian Pale Ale,5877,1407,American-Style India Pale Ale,North American Ale,Catawba Valley Brewing Company,P.O. Box 1154,Glen Alpine,North Carolina
Hefe Weizen,3476,1218,South German-Style Hefeweizen,German Ale,Sudwerk Privatbrauerei Hbsch,2001 Second Street,Davis,California
Endless Summer Cream Ale,3504,92,American-Style Lager,North American Lager,Beach Chalet Brewery,1000 Great Highway,San Francisco,California
Coors Original,3833,399,American-Style Light Lager,North American Lager,Coors Brewing - Golden Brewery,311 Tenth Street,Golden,Colorado
Killian's Irish Red,3840,399,American-Style Lager,North American Lager,Coors Brewing - Golden Brewery,311 Tenth Street,Golden,Colorado
Penn Oktoberfest,3871,975,German-Style Oktoberfest,German Lager,Penn Brewery,800 Vinial St.,Pittsburgh,Pennsylvania
IC Light,3890,698,American-Style Light Lager,North American Lager,Iron City Brewing Co.,3340 Liberty Ave.,Pittsburgh,Pennsylvania
Coffee Stout,2264,907,American-Style Stout,North American Ale,New Glarus Brewing Company,2400 State Highway 69,New Glarus,Wisconsin
Hoppy Claus Holiday Ale,3458,674,Winter Warmer,Other Style,Hoppy Brewing Company,6300 Folsom Boulevard,Sacramento,California
Nugget Nectar,3757,1286,American-Style Amber/Red Ale,North American Ale,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Skinny Dip,223,905,Golden or Blonde Ale,North American Ale,New Belgium Brewing,500 Linden Street,Fort Collins,Colorado
Avalanche Amber,333,236,American-Style Amber/Red Ale,North American Ale,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado
Choc American Lager,2410,979,American-Style Lager,North American Lager,Pete's Place,120 SW Eighth Street,Krebs,Oklahoma
Mueller Doppelbock,2412,1183,Traditional German-Style Bock,German Lager,Springfield Brewing,305 South Market Street,Springfield,Missouri
Big Horn Buttface Amber,2976,326,American-Style Amber/Red Ale,North American Ale,C.B. & Potts of Cheyenne,1650 Dell Range Boulevard,Cheyenne,Wyoming
Oatmeal Stout,1117,144,Oatmeal Stout,British Ale,Blue Point Brewing,161 River Avenue,Patchogue,New York
Billings IPA,1129,879,American-Style India Pale Ale,North American Ale,Montana Brewing,113 North Broadway,Billings,Montana
Red Cedar Red,1318,922,American-Style Brown Ale,North American Ale,Northwoods Brewpub Grill,3560 Oakwood Mall Drive,Eau Claire,Wisconsin
Summer Gueuze,1446,1263,Belgian-Style Fruit Lambic,Belgian and French Ale,Thunderhead Brewery,18 East 21st Street,Kearney,Nebraska
Southern Tier IPA,4039,1173,American-Style India Pale Ale,North American Ale,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
Kilt Lifter  Scottish-Style Ale,4055,551,Scotch Ale,British Ale,Four Peaks Brewing,1340 East Eighth Street #103,Tempe,Arizona
Siberian Night Imperial Stout,4218,1255,American-Style Imperial Stout,North American Ale,Thirsty Dog Brewing,529 Grant St. Suite B,Akron,Ohio
Bigfoot,4278,1142,American-Style Barley Wine Ale,North American Ale,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California
Caldera IPA,4289,328,American-Style India Pale Ale,North American Ale,Caldera Brewing,540 Clover Lane,Ashland,Oregon
St.Terese's Pale Ale,4465,658,American-Style Pale Ale,North American Ale,Highland Brewing Company,12 Old Charlotte Highway,Asheville,North Carolina
Boont Amber Ale,4481,41,American-Style Amber/Red Ale,North American Ale,Anderson Valley Brewing,17700 Boonville Rd,Boonville,California
Orlio Seasonal India Pale Ale,4521,955,American-Style India Pale Ale,North American Ale,Orlio Organic,5 Bartlett Bay Road,South Burlington,Vermont
Oosik Amber Ale,4957,858,American-Style Amber/Red Ale,North American Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
"Jupiter - Belgian-style \""Champagne\"" Trippel",5163,858,Belgian-Style Tripel,Belgian and French Ale,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Dundee Festive Ale,5317,656,Winter Warmer,Other Style,High Falls Brewing,445 St.Paul Street,Rochester,New York
Red Chair IPA,5628,441,American-Style India Pale Ale,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Mean Manalishi Double I.P.A.,5786,673,Imperial or Double India Pale Ale,North American Ale,Hoppin Frog Brewery,1680-F East Waterloo Rd.,Akron,Ohio
Heritage Alt Beer,4787,507,German-Style Brown Ale/Altbier,German Ale,Erie Brewing Company,1213 Veshecco Drive,Erie,Pennsylvania
Solidarity,1100,904,American-Style Stout,North American Ale,New Albanian Brewing,3312 Plaza Drive,New Albany,Indiana
Satin Solstice Imperial Stout,1302,358,American-Style Imperial Stout,North American Ale,Central Waters Brewing Company,351 Allen Street,Amherst,Wisconsin
Bill Old Ale,1457,764,Old Ale,British Ale,Lafayette Brewing,622 Main Street,Lafayette,Indiana
Samuel Adams Irish Red,4078,157,Irish-Style Red Ale,Irish Ale,Boston Beer Company,30 Germania Street,Boston,Massachusetts
Thumbsucker,4164,812,American-Style Imperial Stout,North American Ale,Magic Hat,5 Bartlett Bay Road,South Burlington,Vermont
Geary's Pale Ale,4240,423,Special Bitter or Best Bitter,British Ale,D.L. Geary Brewing Company,38 Evergreen Drive,Portland,Maine
Harvest,4356,801,American-Style Brown Ale,North American Ale,Long Trail Brewing Co,Route 4 & 100A,Bridgewater Corners,Vermont
Madrugada Obscura,4893,723,American-Style Stout,North American Ale,Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,Michigan
Seven Gates Pale Ale,5147,1182,American-Style Pale Ale,North American Ale,Spring House Brewing Company,2519 Main St.,Conestoga,Pennsylvania
Harborfields HefeWeizen,5260,1245,South German-Style Hefeweizen,German Ale,The Blind Bat Brewery LLC,420 Harrison Drive,Centerport,New York
Double White,5494,1170,Light American Wheat Ale or Lager,Other Style,Southampton Publick House,40 Bowden Square,Southampton,New York
Bee Sting Honey Rye Ale,5500,1336,American Rye Ale or Lager,Other Style,Walldorff Brew Pub,105 East State Street,Hastings,Michigan
Captain Lawrence Xtra Gold,5746,341,Belgian-Style Tripel,Belgian and French Ale,Captain Lawrence Brewing Company,99 Castleton Street,Pleasantville,New York
Inversion IPA,423,441,American-Style India Pale Ale,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Imperial Porter,437,1264,Porter,Irish Ale,Thunderhead Brewery #2,120 East Third Street,Grand Island,Nebraska
Nut Brown Ale,1138,440,American-Style Brown Ale,North American Ale,Denver ChopHouse and Brewery,1735 19th Street #100,Denver,Colorado
Amber Bock,1186,925,Traditional German-Style Bock,German Lager,O'Gara's Bar & Grill,146 Snelling Avenue North,Saint Paul,Minnesota
Samuel Adams Chocolate Bock,1195,157,Traditional German-Style Bock,German Lager,Boston Beer Company,30 Germania Street,Boston,Massachusetts
Small Craft Warning,3995,385,German-Style Pilsener,German Lager,Clipper City Brewing Co.,4615-B Hollins Ferry Road,Baltimore,Maryland
Black Betty Schwartzbier,4068,551,German-Style Schwarzbier,German Lager,Four Peaks Brewing,1340 East Eighth Street #103,Tempe,Arizona
Acme California Pale Ale,4169,919,American-Style Pale Ale,North American Ale,North Coast Brewing Company,455 North Main Street,Fort Bragg,California
Orlio Seasonal Black Lager,4523,955,German-Style Schwarzbier,German Lager,Orlio Organic,5 Bartlett Bay Road,South Burlington,Vermont
Saranac Bock,4620,512,Traditional German-Style Bock,German Lager,F.X. Matt Brewing,811 Edward Street,Utica,New York
Idiot IPA,4777,404,American-Style India Pale Ale,North American Ale,Coronado Brewing Company,170 Orange Avenue,Coronado,California
Budweiser American Ale,4941,44,American-Style Amber/Red Ale,North American Ale,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Delta Ale,5138,1352,Herb and Spice Beer,Other Style,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Renegade IPA,5270,509,American-Style India Pale Ale,North American Ale,Estes Park Brewery,470 Prospect Village Dr.,Estes Park,Colorado
Fiesta IPA,5536,1108,American-Style India Pale Ale,North American Ale,Santa Fe Brewing Company,35 Fire Place,Santa Fe,New Mexico
Unfiltered Double Simcoe IPA,5774,1352,Imperial or Double India Pale Ale,North American Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Jack Whacker Wheat Ale,2990,1271,Light American Wheat Ale or Lager,Other Style,Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado
Tall Tale Pale Ale,3647,333,American-Style Pale Ale,North American Ale,Cambridge Brewing,1 Kendall Square #100,Cambridge,Massachusetts
Hop Hearty IPA,2677,907,American-Style India Pale Ale,North American Ale,New Glarus Brewing Company,2400 State Highway 69,New Glarus,Wisconsin
Roundhouse Raspberry Wheat Ale,2055,536,Light American Wheat Ale or Lager,Other Style,Flossmoor Station Brewery,1035 Sterling Avenue,Flossmoor,Illinois
Lucky 13 Anniversary Release,4477,765,Irish-Style Red Ale,Irish Ale,Lagunitas Brewing Company,1280 North McDowell Boulevard,Petaluma,California
Come About Imperial Stout,1223,68,American-Style Imperial Stout,North American Ale,Ballast Point Brewing,5401 Linda Vista Road #406,San Diego,California
7th Anniversary IPA,1371,1204,American-Style India Pale Ale,North American Ale,Stone Brewing Co.,1999 Citracado Parkway,Escondido,California
Caramel Rye,1460,941,American-Style Lager,North American Lager,Old Hat Brewery,114 North Main Street,Lawton,Michigan
Beer,1728,421,American-Style Lager,North American Lager,Cugino Brewing Company,1501 East Wilson,Batavia,Illinois
Certified Organic Porter,186,481,Porter,Irish Ale,Eel River Brewing,1777 Alamar Way,Fortuna,California
5 Barrel Pale Ale,879,935,Classic English-Style Pale Ale,British Ale,Odell Brewing,800 East Lincoln Avenue,Fort Collins,Colorado
Alaskan Amber,4079,17,Old Ale,British Ale,Alaskan Brewing,5429 Shaune Drive,Juneau,Alaska
Yards Saison,4165,1383,French & Belgian-Style Saison,Belgian and French Ale,Yards Brewing,2439 Amber Street,Philadelphia,Pennsylvania
Stovepipe Porter,4349,959,Porter,Irish Ale,Otter Creek Brewing & Wolaver's Organic Ales,793 Exchange Street,Middlebury,Vermont
Catalina Common Lager,4629,538,American-Style Lager,North American Lager,Flyers Restraunt and Brewery,32295 State Route 20,Oak Harbor,Washington
Barnstormer Brown Ale,4634,538,American-Style Brown Ale,North American Ale,Flyers Restraunt and Brewery,32295 State Route 20,Oak Harbor,Washington
Scratch #8 2008,4648,1286,Belgian-Style Tripel,Belgian and French Ale,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
The Abyss,4708,441,American-Style Imperial Stout,North American Ale,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon
Shepard's Crook Scotish Ale,5097,1061,Scotch Ale,British Ale,Rivertowne Pour House,312 Center Rd,Monroeville,Pennsylvania
Boulevard Maibock,5301,161,German-Style Heller Bock/Maibock,German Lager,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri
Pale Ale,5875,1404,American-Style Pale Ale,North American Ale,The St. Louis Brewrey,2100 Locust Street,St. Louis,Missouri
Fleishhacker Stout,3500,92,American-Style Stout,North American Ale,Beach Chalet Brewery,1000 Great Highway,San Francisco,California
Trout Slayer,3761,122,Light American Wheat Ale or Lager,Other Style,Big Sky Brewing,5417 Trumpeter Way,Missoula,Montana
Zoigl Star Lager,3796,45,American-Style Lager,North American Lager,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Rye Porter,3908,871,Porter,Irish Ale,Minocqua Brewing Company,238 Lake Shore Drive,Minocqua,Wisconsin
Natural Light,3947,44,American-Style Light Lager,North American Lager,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Oil Change Oatmeal Stout,4479,530,Oatmeal Stout,British Ale,Flat Branch Pub & Brewing,115 S. Fifth St.,Columbia,Missouri
Masala Mama IPA,1171,869,American-Style India Pale Ale,North American Ale,Minneapolis Town Hall Brewery,1430 Washington Avenue South,Minneapolis,Minnesota
Warrior IPA,74,779,American-Style India Pale Ale,North American Ale,Left Hand Brewing Company,1265 Boston Avenue,Longmont,Colorado
Hibernation Ale,414,604,Old Ale,British Ale,Great Divide Brewing,2201 Arapahoe Street,Denver,Colorado
McGilligans IPA,5353,1250,American-Style India Pale Ale,North American Ale,The Livery,190 5th Street,Benton Harbor,Michigan
Big Swell IPA,5382,836,American-Style India Pale Ale,North American Ale,Maui Brewing Co.,4405 Honoapiilani Highway #217,"Lahaina, Maui",Hawaii
Wasatch 1st Amendment Lager,5547,1318,American-Style Lager,North American Lager,Utah Brewers Cooperative,1763 South 300 West,Salt Lake City,Utah
Buffalo Lager,5574,539,American-Style Lager,North American Lager,Flying Bison Brewing,491 Ontario Street,Buffalo,New York
Mt. Takhoma Blonde Ale,5578,633,Golden or Blonde Ale,North American Ale,Harmon Brewing Company,1938 Pacific Avenue,Tacoma,Washington
Tarletons Bitters,5653,882,Ordinary Bitter,British Ale,Moon River Brewing Company,21 W. Bay St.,Savannah,Georgia
Hefeweizen,3049,559,South German-Style Hefeweizen,German Ale,Front Street Brewery,208 East River Drive,Davenport,Iowa
